name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2Bed/ 2Bath Impeccable Stylish Brooklyn Home,Brooklyn,Greenpoint,40.72104,-73.94805,Entire home/apt,275,5,77,1.89,2,6
Brooklyn Beauty! Private Bed+Bath,Brooklyn,Greenpoint,40.72023,-73.9479,Private room,118,3,1,0.02,2,188
Entire floor private 1 bedroom in Bushwick,Brooklyn,Bushwick,40.69909,-73.92279,Private room,75,3,2,0.06,1,0
Apt 2or3 bedr for 4 or more guests in Williamsburg,Brooklyn,Williamsburg,40.71036,-73.95477,Entire home/apt,180,2,115,3.34,2,82
Studio Flat in Williamsburg  Ny  2/4 Guest,Brooklyn,Williamsburg,40.70887,-73.95591,Entire home/apt,125,2,71,3.92,2,83
"Sunny, clean & friendly Williamsburg room",Brooklyn,Williamsburg,40.70736,-73.95571,Private room,70,1,39,2.03,1,2
Bright and Cozy in Crown Heights,Brooklyn,Crown Heights,40.67049,-73.94177,Private room,69,15,21,0.43,1,360
Nice cheap place to stay in NYC,Bronx,Longwood,40.82148,-73.89122,Private room,60,1,8,0.22,1,364
Tiny Home,Queens,Jackson Heights,40.75137,-73.86081,Entire home/apt,69,2,52,5.63,2,137
My Little Cottage,Queens,Corona,40.75015,-73.85961,Entire home/apt,69,2,166,7.5,2,140
"4 bdrm Riverdale apt, 15-30 minutes to Manhattan",Bronx,Spuyten Duyvil,40.88316,-73.91151,Entire home/apt,360,2,8,0.51,1,71
MASSIVE zen garden Master BR in Chelsea,Manhattan,Chelsea,40.74386,-73.99344,Private room,85,30,1,0.48,1,69
Cozy little room in beautiful brownstone house !,Brooklyn,Bedford-Stuyvesant,40.69221,-73.93823,Private room,50,20,19,0.56,1,2
"Spacious, bright on Upper East Side",Manhattan,Upper East Side,40.77433,-73.94854,Private room,35,11,9,0.24,1,0
Private Master BR in 3 BR Apt,Manhattan,Lower East Side,40.71286,-73.98437,Private room,102,2,6,0.13,4,0
Private BR in 3 BR Apt,Manhattan,Lower East Side,40.7146,-73.98423,Private room,89,3,5,0.11,4,0
Private BR in 3 BR Apartment,Manhattan,Lower East Side,40.71413,-73.9864,Private room,89,1,5,0.11,4,0
3 private bedrooms in historic Harlem brownstone?,Manhattan,Harlem,40.8167,-73.94421,Private room,300,2,1,0.7,1,76
Manhattan Ave Apartment 2 stops from Times Square,Manhattan,Harlem,40.80712,-73.95686,Private room,103,2,14,5.83,1,19
Gorgeous BK Apt steps from Barcalys,Brooklyn,Gowanus,40.68068,-73.98186,Entire home/apt,63,5,2,0.05,1,0
"Clean, Modern Studio. First floor access! #10292",Manhattan,Upper East Side,40.77936,-73.9518,Entire home/apt,175,2,41,4.16,1,247
"Bright, charming luxury 1 BR with amazing rooftop",Brooklyn,Greenpoint,40.72038,-73.94233,Entire home/apt,250,4,4,0.12,1,0
UES Renovated Safe Location,Manhattan,Upper East Side,40.76798,-73.95274,Entire home/apt,148,1,68,3.09,1,98
"Little cozy, clean, homy gem in the hearth of LIC.",Queens,Long Island City,40.74649,-73.9525,Private room,70,15,3,1.32,1,135
Sunny Studio in Midtown Manhattan,Manhattan,Kips Bay,40.74533,-73.9772,Entire home/apt,128,2,5,0.19,1,0
Tasteful French 1BD Apt w/ Garden,Brooklyn,Bedford-Stuyvesant,40.68537,-73.95693,Entire home/apt,113,4,38,0.63,1,191
Havemeyer Holiday,Brooklyn,Williamsburg,40.71674,-73.95262,Private room,80,10,5,0.07,1,0
Explore NYC in Stylish Contemporary Studio,Manhattan,Hell's Kitchen,40.76397,-73.99078,Entire home/apt,219,1,5,5.0,1,173
Quiet Soho/Nolita Garden Alcove Studio,Manhattan,Nolita,40.72176,-73.99424,Entire home/apt,180,2,166,4.44,1,213
Clean Private Bedroom in Bushwick,Brooklyn,Bushwick,40.69995,-73.92612,Private room,50,1,1,0.03,1,0
Giant Sunny East Williamsburg LOFT!,Brooklyn,Williamsburg,40.71351,-73.92999,Entire home/apt,160,4,40,0.83,1,138
Spacious place w/ private bathroom,Brooklyn,Crown Heights,40.67636,-73.91932,Private room,85,2,2,0.24,1,0
Unique Space in Red Hook,Brooklyn,Red Hook,40.67731,-74.0112,Entire home/apt,160,2,64,1.27,1,341
Cozy studio close to Central Park,Manhattan,Upper West Side,40.79203,-73.96967,Entire home/apt,110,7,9,0.19,1,19
Williamsburg Apartment,Brooklyn,Williamsburg,40.71612,-73.94468,Entire home/apt,115,6,1,0.09,1,0
Huge Room with Private Bathroom,Brooklyn,Flatbush,40.65083,-73.96101,Private room,70,3,3,0.04,1,188
Beautiful cozy room close to Manhattan,Queens,Sunnyside,40.73679,-73.92561,Private room,50,2,2,0.11,1,179
Great Room in the Lower East Side,Manhattan,East Village,40.72099,-73.97993,Private room,69,1,1,0.02,1,0
Upper East Fun and Sunny 1B1B Very Close to Subway,Manhattan,East Harlem,40.78499,-73.94588,Entire home/apt,159,1,15,5.11,1,152
CHEAP & CONVENIENT,Manhattan,East Harlem,40.78802,-73.95026,Entire home/apt,115,4,68,1.2,1,10
Spacious & happy gem in LES!,Manhattan,Lower East Side,40.71996,-73.98729,Private room,100,3,2,0.04,1,0
Real Brooklyn Apt on Pacific and New York,Brooklyn,Crown Heights,40.67683,-73.94702,Private room,30,5,2,0.32,1,220
Queens Corner Lot,Queens,Queens Village,40.70524,-73.73349,Entire home/apt,150,1,51,7.43,1,248
Harlem Gem,Manhattan,Harlem,40.80705,-73.95582,Private room,80,2,42,4.92,1,13
Cozy Room in Best Downtown NYC Location,Manhattan,Nolita,40.72411,-73.99372,Private room,80,4,131,1.88,1,34
Live like a NY'er! Lovely apartment in Manhattan,Manhattan,Harlem,40.80703,-73.95354,Entire home/apt,130,4,32,1.02,1,39
Beautiful Garden Apt in Prime Bushwick,Brooklyn,Bushwick,40.7042,-73.9259,Entire home/apt,89,4,6,0.73,1,0
Stylized room in Harlem 141 st,Manhattan,Harlem,40.82008,-73.94057,Private room,50,1,30,6.25,2,149
Modern stylized room in appartment Harlem 141st,Manhattan,Harlem,40.81944,-73.93974,Private room,70,1,23,6.05,2,97
Time SQ Dream Suite in Midtown w/ Projector,Manhattan,Hell's Kitchen,40.76069,-73.99068,Entire home/apt,239,2,163,4.18,1,118
"Private Brand New 2 BR, Minutes from JFK & LGA",Queens,Jamaica,40.67695,-73.79045,Entire home/apt,99,1,96,9.63,1,31
BUENA UBICACIÓN CON DESAYUNO INCLUIDO,Brooklyn,Brighton Beach,40.57458,-73.96514,Private room,76,3,23,1.37,1,153
"Upper West Side, 1800 sq/ft private apartment",Manhattan,Upper West Side,40.79566,-73.96954,Entire home/apt,275,2,8,0.99,1,24
Beautiful 1 Bdrm w/ Large Private Patio,Brooklyn,Williamsburg,40.70901,-73.95471,Entire home/apt,168,2,5,0.39,1,0
Large room in Hamilton Heights,Manhattan,Harlem,40.82366,-73.9461,Private room,50,3,1,0.07,1,0
Our place in Williamsburg,Brooklyn,Williamsburg,40.70804,-73.94868,Entire home/apt,150,5,2,0.67,1,0
Calm&Cozy Bedroom - NoLIta/SoHo (private bathroom),Manhattan,Nolita,40.72413,-73.99355,Private room,118,3,10,0.29,1,0
"Spacious, sunny apt in BK Heights",Brooklyn,Brooklyn Heights,40.69453,-73.99423,Entire home/apt,409,1,1,0.03,2,0
"Modern, Steps to Subway - Sleeps 4",Brooklyn,Bedford-Stuyvesant,40.6844,-73.9489,Entire home/apt,225,4,5,0.07,1,365
Manhattan Phenomenal Deal! BEST Chelsea Room,Manhattan,Chelsea,40.74944,-73.99774,Private room,49,1,40,1.63,1,43
"Bronx Haven : Near water, accessible to transit",Bronx,Castle Hill,40.81518,-73.84758,Entire home/apt,62,3,32,2.79,1,42
Room with Unbeatable Manhattan Skyline View,Brooklyn,Greenpoint,40.72463,-73.95227,Private room,65,5,3,0.13,1,0
Minutes to the Metro!!!,Brooklyn,Bedford-Stuyvesant,40.69507,-73.94332,Entire home/apt,125,2,202,4.76,1,276
Luxurious Huge Room Same Street As The Subway!,Brooklyn,Bedford-Stuyvesant,40.67872,-73.90967,Private room,90,1,51,5.56,2,224
"Beautiful & Comfy Room, Same Street As The Subway!",Brooklyn,Bedford-Stuyvesant,40.6791,-73.9096,Private room,85,1,81,6.06,2,233
Private Bedroom in BK Brownstone,Brooklyn,Bedford-Stuyvesant,40.69604,-73.94504,Private room,50,7,13,0.33,3,227
One Bedrm BK Brownstone Beauty,Brooklyn,Bedford-Stuyvesant,40.69488,-73.9434,Private room,50,7,10,0.25,3,243
2 bdrms in 3 Bdrm Lovely Brownstone,Brooklyn,Bedford-Stuyvesant,40.69627,-73.94371,Entire home/apt,100,5,9,0.17,3,262
Beautiful brownstone apartment,Brooklyn,Carroll Gardens,40.68235,-74.00047,Entire home/apt,150,2,52,1.33,1,53
Nice private room in quiet E Village apt,Manhattan,East Village,40.73057,-73.986,Private room,125,2,21,0.77,2,329
2 BR apt in East Village w private patio,Manhattan,East Village,40.73003,-73.98576,Entire home/apt,300,2,17,0.55,2,169
Large Bedroom next to Prospect Park and BK Museum,Brooklyn,Prospect Heights,40.67365,-73.96384,Private room,80,3,4,0.15,1,88
Designer amazing room in NYC!!,Manhattan,Harlem,40.81388,-73.95105,Private room,95,5,206,2.89,1,252
Room in a lovely 2br apartment - East Williamsburg,Brooklyn,Williamsburg,40.70731,-73.94344,Private room,60,7,5,0.14,1,3
2000 SF 3br 2bath West Village private  townhouse,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,0.55,2,243
West Village townhouse private suite incl bath,Manhattan,West Village,40.73089,-74.00302,Private room,139,1,203,2.87,2,32
Subway-Ocean-Parking,Brooklyn,Gravesend,40.58892,-73.97379,Private room,70,3,67,1.53,2,40
Subway. Ocean. Parking,Brooklyn,Gravesend,40.5888,-73.97278,Private room,70,3,46,1.05,2,92
"Clean, Cozy, Private Bath &  Bedroom  Apartment",Bronx,Throgs Neck,40.81869,-73.82233,Entire home/apt,99,2,3,3.0,1,120
Clinton Hill BdRm in Artists' Home,Brooklyn,Clinton Hill,40.68274,-73.96487,Private room,49,3,74,1.16,1,284
Great Loft Steps From All Williamsburg Hotels,Brooklyn,Williamsburg,40.72124,-73.95847,Entire home/apt,250,1,54,1.15,1,365
"Bright, Open, and Beautiful 2-Bedroom!",Brooklyn,Williamsburg,40.70893,-73.94662,Entire home/apt,200,2,1,0.04,1,0
Delight in Your Home Away from Home in NYC!,Bronx,Soundview,40.82987,-73.86608,Entire home/apt,60,2,105,3.61,1,131
UES - Private Studio with Kitchen,Manhattan,Upper East Side,40.77459,-73.9476,Private room,115,2,18,0.38,1,0
Sunny private apt 25 min from NYC,Queens,Woodside,40.7432,-73.91238,Entire home/apt,50,1,28,1.14,1,13
Cute 1 Bedroom close to Graham Ave. train stop,Brooklyn,Williamsburg,40.71604,-73.94217,Entire home/apt,53,3,4,0.3,2,29
Whimsical & Cute Private Room in 2 Bdrm Apt,Brooklyn,Williamsburg,40.71622,-73.94273,Private room,50,14,54,1.61,2,86
Casa finca Zen Sanctuary Artist Home,Brooklyn,Williamsburg,40.70717,-73.94622,Entire home/apt,95,3,7,0.93,3,363
Zen Artist Duplex with Private Garden,Brooklyn,Williamsburg,40.7066,-73.94595,Private room,95,3,14,1.07,3,180
Casa Finca Sanctuary Duplex w/ Private Garden,Brooklyn,Williamsburg,40.70732,-73.94536,Private room,130,3,12,1.08,3,90
LIVING THE NYC EXPERIENCE,Manhattan,Harlem,40.81922,-73.95672,Entire home/apt,355,5,14,0.49,1,89
Cozy and charming studio in UWS,Manhattan,Upper West Side,40.77856,-73.98278,Entire home/apt,150,7,2,0.05,1,0
"Nice Cozy Room in BROOKLYN, NYC, NY, Bushwick",Brooklyn,Bushwick,40.69545,-73.91967,Private room,33,2,182,3.62,2,16
"Private .5 bath/ Queen Room Bushwick Brooklyn, NYC",Brooklyn,Bushwick,40.69383,-73.92068,Private room,35,2,43,4.08,2,15
"furnished basement level apartment , 1000 sq ft",Brooklyn,Greenpoint,40.73233,-73.95443,Entire home/apt,300,1,1,0.03,1,83
"Large, sunny & modern Union Square 1-bedroom",Manhattan,East Village,40.73245,-73.98848,Entire home/apt,210,4,4,0.39,1,0
Gorgeous views from cleanly home in Lincoln Square,Manhattan,Upper West Side,40.77714,-73.9881,Private room,180,3,13,2.6,1,0
Cozy One Bedroom Apartment In Downtown Manhattan,Manhattan,Battery Park City,40.7118,-74.01678,Entire home/apt,125,4,2,0.26,1,0
*Rare Spacious Apartment Near JFK/Subway for 2019*,Queens,Woodhaven,40.69017,-73.86683,Entire home/apt,90,4,64,3.71,1,106
Budget apt in PRIME HARLEM NYC location,Manhattan,Harlem,40.8274,-73.95215,Entire home/apt,102,2,14,1.21,1,293
"Exclusive Manhattan , 24 h doormen",Manhattan,Midtown,40.75293,-73.97173,Private room,110,14,9,0.14,1,21
"Spacious, Light-Filled One-Bedroom in Williamsburg",Brooklyn,Williamsburg,40.70783,-73.94346,Entire home/apt,180,2,1,0.38,1,10
Chic East Village 1 bed apt,Manhattan,East Village,40.72592,-73.98862,Entire home/apt,175,2,3,0.13,1,0
Large Bedroom in Bushwick,Brooklyn,Bushwick,40.70091,-73.93809,Private room,65,2,12,0.34,1,0
Amazing location! 10ft from L train,Brooklyn,Williamsburg,40.71534,-73.94906,Private room,85,2,146,1.78,1,46
Magical Gramercy Apartment,Manhattan,Kips Bay,40.74022,-73.98003,Entire home/apt,200,2,2,1.4,1,0
Beautiful and Warm Garden Apartment,Brooklyn,East New York,40.6682,-73.88541,Entire home/apt,150,30,16,0.37,1,365
Room w/ Private Bathroom in Heart of Bushwick,Brooklyn,Bushwick,40.69423,-73.91993,Private room,90,2,3,0.12,1,0
"Charming, huge BR, nr Prospect Park",Brooklyn,Prospect Heights,40.68062,-73.97042,Private room,80,2,24,0.33,1,0
Your edgy Residence in LES!,Manhattan,Lower East Side,40.71952,-73.98546,Entire home/apt,250,7,3,1.76,1,254
Room & Breakfast-   Room 2,Brooklyn,Bedford-Stuyvesant,40.68649,-73.92783,Private room,49,1,107,2.19,3,69
Room & Breakfast -  Room 3,Brooklyn,Bedford-Stuyvesant,40.68582,-73.92926,Private room,49,1,77,2.44,3,239
Room and Breakfast  -  Room 1,Brooklyn,Bedford-Stuyvesant,40.68523,-73.92926,Private room,49,1,136,3.05,3,200
Spacious Loft in heart of Tribeca,Manhattan,Tribeca,40.71969,-74.00876,Entire home/apt,235,3,5,0.08,1,177
Spacious Midtown Retreat!,Manhattan,Kips Bay,40.74508,-73.97854,Entire home/apt,350,3,6,0.13,1,0
"Private room in spacious, cozy Brooklyn home.",Brooklyn,Bushwick,40.69013,-73.91177,Private room,65,1,1,1.0,1,88
Big 2-story home in Brooklyn Hts.,Brooklyn,Brooklyn Heights,40.69119,-73.99438,Entire home/apt,300,2,8,0.22,1,0
Charming Studio!--Brooklyn College ,Brooklyn,Flatlands,40.62338,-73.94078,Entire home/apt,90,7,21,0.33,1,0
Small cozy bedroom in the heart of Manhattan.,Manhattan,Midtown,40.7459,-73.98663,Private room,280,2,1,1.0,1,363
"Large, Furnished Bedroom in Bushwick",Brooklyn,Bushwick,40.70311,-73.91264,Private room,39,10,2,0.28,1,0
Hancock House cozy Garden Level,Brooklyn,Bedford-Stuyvesant,40.6835,-73.92754,Entire home/apt,145,3,122,2.14,1,269
Luxury 1bdrm w/ private terrace,Brooklyn,Williamsburg,40.71214,-73.95111,Entire home/apt,175,3,5,0.1,1,0
Brand NEW & SIMPLE apt in quiet Chinatown,Manhattan,Two Bridges,40.71136,-73.99391,Private room,110,3,1,0.11,1,350
Beautiful Room Near Central Park!,Manhattan,Harlem,40.80285,-73.95166,Private room,99,2,54,0.88,1,50
Prime Bushwick location w/ washer/dryer + rooftop!,Brooklyn,Bushwick,40.70252,-73.91447,Private room,34,3,7,0.35,1,71
Brooklyn Getaway,Brooklyn,Windsor Terrace,40.66047,-73.98244,Entire home/apt,154,2,12,1.16,1,19
"Great Private Room in Midtown, great Location!",Manhattan,Hell's Kitchen,40.76311,-73.98704,Private room,98,2,64,5.65,1,54
☆ PERFECT MANHATTAN LOCATION NEAR SUBWAY & CAFES!☆,Manhattan,Lower East Side,40.71812,-73.98619,Entire home/apt,197,1,285,4.83,1,8
Renovated Garden Townhouse Apartment,Brooklyn,Bedford-Stuyvesant,40.68452,-73.91614,Entire home/apt,99,3,49,3.63,1,102
Dazzling Large 3 Bedroom Just Minutes To Manhattan,Queens,Astoria,40.75875,-73.92048,Entire home/apt,275,2,2,2.0,1,279
Cozy Studio On The Upper East Side,Manhattan,Upper East Side,40.77065,-73.95495,Entire home/apt,100,3,18,0.29,1,0
300sqft Bedroom in LES Duplex,Manhattan,Lower East Side,40.7202,-73.98284,Private room,120,1,1,0.02,1,0
Stylish Modern Comfort in Bed-Stuy,Brooklyn,Bedford-Stuyvesant,40.68548,-73.94988,Entire home/apt,110,2,3,0.06,1,0
"Staten Island - Free Wifi, Parking Space, Near NYC",Staten Island,Rosebank,40.61438,-74.0664,Entire home/apt,138,1,51,7.18,1,291
Bright Studio near park,Brooklyn,Flatbush,40.65258,-73.96343,Entire home/apt,115,3,11,1.23,1,165
Brand new home in Staten island!,Staten Island,Grymes Hill,40.61572,-74.08901,Entire home/apt,300,5,1,0.58,1,174
Best place at queens,Queens,Middle Village,40.71064,-73.87463,Entire home/apt,100,1,4,0.34,1,0
Extra room 420friendly & breakfast,Bronx,East Morrisania,40.82831,-73.88746,Private room,80,1,3,3.0,2,89
Small back room 420friendly & breakfast,Bronx,Longwood,40.82756,-73.8871,Private room,70,1,6,2.95,2,89
Sparkling Clean BR in Unbeatable Location 웃,Manhattan,Hell's Kitchen,40.76463,-73.98772,Private room,150,1,3,0.56,3,152
Queen Master BR 5min Walk from Major Attractions 웃,Manhattan,Hell's Kitchen,40.76315,-73.98711,Private room,150,1,4,0.75,3,149
Huge 1BR Wes Anderson Style Manhattan Apartment,Manhattan,Harlem,40.8067,-73.95621,Entire home/apt,175,3,43,2.89,1,37
Chill 2BD in Brooklyn,Brooklyn,Brownsville,40.66041,-73.91562,Entire home/apt,129,2,73,2.34,1,82
Spacious 1 Bedroom Apt in the heart of Harlem,Manhattan,Harlem,40.80761,-73.95416,Entire home/apt,160,1,41,1.56,1,273
Nantucket Lounge of Upper East Side,Manhattan,Upper East Side,40.77174,-73.95703,Private room,113,1,7,0.23,1,0
Cozy room in sunny apartment across from park,Brooklyn,Bushwick,40.69118,-73.9083,Private room,35,2,34,4.95,2,112
EAST VILLAGE STUDIO APT WITH COURTYARD,Manhattan,East Village,40.73048,-73.98269,Entire home/apt,78,3,4,0.31,1,13
Beautiful Modern Large 1 Bedroom,Brooklyn,Crown Heights,40.67665,-73.95534,Entire home/apt,115,3,1,0.03,1,0
Private Room in Historical Clinton Hill/Ft Greene,Brooklyn,Clinton Hill,40.69465,-73.96427,Private room,50,2,12,2.98,1,0
"Large, light-filled W. Village condo w/river views",Manhattan,West Village,40.7342,-74.00854,Entire home/apt,225,2,6,0.12,1,0
New 2 Bed.apt. 10 min to NYC! one block from train,Queens,Astoria,40.76068,-73.91359,Entire home/apt,119,2,217,3.67,1,214
"Convenient, comfy,  and bright",Manhattan,Washington Heights,40.84539,-73.93968,Shared room,40,2,14,2.82,2,0
Williamsburg 3-Bed Townhouse w/ Garden by L Train,Brooklyn,Williamsburg,40.71159,-73.94514,Entire home/apt,129,5,19,1.03,1,295
Sophisticated 3 Bedroom/ 2Bath in Union Square NYC,Manhattan,East Village,40.73081,-73.98876,Entire home/apt,549,5,8,4.29,1,155
Bohemian Sanctuary,Brooklyn,Williamsburg,40.70791,-73.93877,Entire home/apt,97,1,2,0.09,1,0
Sunny & Spacious 1 bedroom in Williamsburg,Brooklyn,Williamsburg,40.70933,-73.94779,Entire home/apt,265,2,4,0.29,2,89
Bright Room in Williamsburg,Brooklyn,Williamsburg,40.70896,-73.94754,Private room,157,1,6,0.42,2,365
Beautiful 2BR with Private Rooftop Deck LES,Manhattan,Lower East Side,40.71306,-73.98715,Entire home/apt,250,1,67,2.46,1,185
Beautiful Williamsburg Loft 1/2 Block from Subway!,Brooklyn,Williamsburg,40.71493,-73.94502,Private room,120,1,9,0.38,1,0
Large bedroom in chinatown,Manhattan,Chinatown,40.71521,-73.99606,Private room,91,1,1,0.02,1,0
Cozy Garden View Apartment!  Perfect for Families!,Brooklyn,Bedford-Stuyvesant,40.68208,-73.92994,Entire home/apt,185,5,60,1.3,1,0
Brownstone 1 Bedroom Apt in Bushwick,Brooklyn,Bushwick,40.69267,-73.9218,Entire home/apt,70,5,1,0.05,1,0
1 BDRM avail in sunny apartment in Williamsburg,Brooklyn,Williamsburg,40.71293,-73.94283,Private room,120,2,11,1.76,2,117
Beautiful Red Brick Room,Brooklyn,Bedford-Stuyvesant,40.68604,-73.91924,Private room,50,5,39,1.04,3,40
Lovely Little Literary Loft!,Brooklyn,Bedford-Stuyvesant,40.68632,-73.91793,Private room,50,3,70,1.59,3,25
"Cozy, Convenient, Clean & Colorful!",Brooklyn,Bushwick,40.68755,-73.91856,Private room,60,2,77,1.56,3,28
Cute little room in a 3BR apt with shared bath.,Brooklyn,Crown Heights,40.67138,-73.93679,Private room,82,1,21,0.78,1,89
Bright 1 br apt in Greenpoint Brooklyn,Brooklyn,Greenpoint,40.73604,-73.95415,Entire home/apt,250,2,4,0.16,1,322
Large bedroom in Astoria/LIC area,Queens,Long Island City,40.75328,-73.92244,Private room,55,1,5,0.1,1,0
2 BED Manhattan Condo with Balcony & Laundry,Manhattan,Hell's Kitchen,40.76495,-73.98844,Entire home/apt,248,2,19,0.96,1,0
Privat Bath and Bedroom overlooking the Park,Brooklyn,Greenpoint,40.72361,-73.95039,Private room,100,1,11,0.3,1,0
Perfect peace private room in Brooklyn,Brooklyn,Bedford-Stuyvesant,40.69593,-73.93503,Private room,60,2,2,1.25,2,171
Perfect room in Brooklyn,Brooklyn,Bedford-Stuyvesant,40.69567,-73.93431,Private room,45,1,1,1.0,2,362
"Cozy, Quiet and Spacious Apt in Astoria",Queens,Astoria,40.7637,-73.9268,Entire home/apt,99,7,3,0.27,1,0
Luxury Wall St. Apartment Building,Manhattan,Financial District,40.70433,-74.00782,Entire home/apt,175,2,2,0.05,1,0
Luxury Apt near Time Square,Manhattan,Hell's Kitchen,40.75885,-73.99584,Private room,130,7,2,0.04,1,0
Best Location on the Upper West Side! - Part II,Manhattan,Upper West Side,40.7892,-73.9734,Private room,80,1,47,1.5,2,0
Best Location on the UWS!!,Manhattan,Upper West Side,40.78936,-73.97502,Private room,78,2,171,3.43,2,0
Quiet Room in Brownstone - Prime Location,Brooklyn,Park Slope,40.67633,-73.9793,Private room,45,1,45,1.36,2,77
Beautiful Room in Brownstone - Prime Location,Brooklyn,Park Slope,40.67618,-73.98122,Private room,58,1,211,5.13,2,178
"2 Story Penthouse | Private Floor, Bed, & Bath",Manhattan,Upper West Side,40.78413,-73.97779,Private room,94,2,65,2.69,1,54
Room in East Williamsburg 1 Block from L Train,Brooklyn,Williamsburg,40.70794,-73.93976,Private room,35,5,1,0.03,1,0
"Cute, spacious, windowlit room in Williamsburg",Brooklyn,Williamsburg,40.71327,-73.94763,Private room,60,2,3,0.13,1,90
Greenwich village 1 bedroom - spacious!,Manhattan,SoHo,40.72625,-74.00199,Entire home/apt,150,3,40,1.05,1,4
Family room #5,Brooklyn,Greenpoint,40.71913,-73.95041,Private room,80,30,3,0.14,6,324
First floor #7,Brooklyn,Williamsburg,40.71901,-73.94978,Private room,85,30,7,0.53,6,337
First floor #6,Brooklyn,Williamsburg,40.71865,-73.94951,Private room,125,30,13,0.86,6,255
Brooklyn NYC! #3,Brooklyn,Williamsburg,40.71835,-73.94999,Private room,79,30,15,0.69,6,333
Beautiful place in Brooklyn! #2,Brooklyn,Williamsburg,40.71772,-73.95059,Private room,79,999,24,1.12,6,249
Amazing room #1,Brooklyn,Williamsburg,40.71732,-73.95048,Private room,54,30,22,1.01,6,276
SUNNY APT Best location In Williamsburg!!!!!,Brooklyn,Williamsburg,40.71024,-73.96081,Entire home/apt,150,2,120,3.29,1,149
Carib breeze vybz,Brooklyn,Cypress Hills,40.68684,-73.87834,Private room,50,3,12,0.33,3,90
Hawai memories,Brooklyn,Cypress Hills,40.68615,-73.87646,Private room,60,3,32,0.81,3,90
NY historic brownstone,Brooklyn,Cypress Hills,40.68577,-73.8777,Private room,60,3,15,0.41,3,90
Bright and Hip in Morningside,Manhattan,Harlem,40.81024,-73.9525,Private room,95,1,10,0.21,1,0
Great location in the heart of Manhattan,Manhattan,Hell's Kitchen,40.76313,-73.98978,Private room,100,1,216,8.07,1,43
Park Slope-Private Room/Bath/Entry,Brooklyn,Park Slope,40.6747,-73.98245,Private room,125,3,270,3.34,1,300
BedStuy with a View,Brooklyn,Bedford-Stuyvesant,40.69289,-73.94356,Private room,68,3,52,2.44,3,72
Cozy in Bedstuy,Brooklyn,Bedford-Stuyvesant,40.69284,-73.94418,Private room,65,3,40,1.99,3,70
Sham’s home,Bronx,Fordham,40.86299,-73.89088,Private room,75,2,14,1.26,1,210
Beautiful 1bedroom apt in Williamsburg,Brooklyn,Williamsburg,40.71998,-73.96283,Entire home/apt,190,6,4,0.88,1,59
Brooklyn- Crown Heights Garden Apt.,Brooklyn,Crown Heights,40.67555,-73.95057,Private room,55,2,247,2.51,2,275
Crown Heights Garden Apt.,Brooklyn,Crown Heights,40.67586,-73.95155,Private room,60,2,227,2.27,2,287
"Private room in heart of Boerum Hill, Brooklyn",Brooklyn,Boerum Hill,40.6836,-73.98285,Private room,62,2,4,0.11,1,0
"Two double beds, New York, Chinatown, #2",Manhattan,Chinatown,40.714,-73.99571,Private room,90,1,82,6.24,3,77
"Private bedroom in Chinatown, NYC, #1",Manhattan,Chinatown,40.71457,-73.9958,Private room,122,1,71,5.5,3,91
"Private bedroom with Bath Chinatown, NYC, #3",Manhattan,Chinatown,40.71471,-73.99514,Private room,100,1,51,3.86,3,92
Modern loft in the heart of the East Village.,Manhattan,East Village,40.73073,-73.98652,Entire home/apt,170,1,36,1.14,1,36
Large Sunny Bedroom in 2 bedroom Apt. near train,Brooklyn,Gravesend,40.60663,-73.9821,Private room,29,2,1,0.08,1,0
Spacious 1 BDRM w/ Backyard of DREAMS in Manhattan,Manhattan,Harlem,40.80948,-73.95514,Entire home/apt,148,4,1,1.0,1,8
Charming Bedroom in Harlem,Manhattan,East Harlem,40.80226,-73.94506,Private room,70,1,325,6.19,1,108
☀ Beautiful & Quiet ☀TIMES SQUARE ☀ 2 BDR Apt ☀,Manhattan,Hell's Kitchen,40.76155,-73.98687,Entire home/apt,295,2,71,4.25,1,89
Sunny Room in NYC,Manhattan,Chinatown,40.7133,-73.9956,Private room,70,3,1,0.03,1,0
Bright modern 2 bed 2 bath flat in Williamsburg,Brooklyn,Williamsburg,40.71947,-73.96112,Entire home/apt,195,2,11,0.45,1,0
"SUNNY,SUPER CLEAN WEST VILLAGE  APT",Manhattan,West Village,40.73246,-74.00215,Entire home/apt,199,10,4,0.06,1,3
Bright & Sunny FULLY FURNISHED Room,Queens,Forest Hills,40.73381,-73.85366,Private room,50,7,2,0.15,1,140
"Luxury Williamsburg, Brooklyn LOFT",Brooklyn,Williamsburg,40.72091,-73.95814,Entire home/apt,325,2,320,3.6,1,0
Comfy Bronx home away from home,Bronx,Kingsbridge,40.86925,-73.89974,Private room,35,1,8,8.0,1,48
Beautiful bedroom is Bushwick,Brooklyn,Bushwick,40.70056,-73.9184,Private room,50,1,1,0.45,5,328
Beautiful Private bedroom for rent in Bushwick,Brooklyn,Bushwick,40.70094,-73.91992,Private room,59,1,1,0.75,5,148
